system:index,Latitude,Longitude,angle,day,distance,elevation,fid,first,image_date,lenght,month,ndvi,plot,position,position_n,section,targetdate,year,.geo
0000000000000000000c,64.13399992553055,-51.38357712461815,6.315334573688975,7,0.509089383164487,23.921875,40,0.6988304093567251,2021-07-07,1.017024580824883,7,0.6988304093567251,emp1,mid,2.0,d,2021-07-07,2021,"{""type"":""Point"",""coordinates"":[-51.38357476210799,64.13400161203349]}"
0000000000000000000d,64.13399111842936,-51.38357850284104,2.049710971606058,7,0.475304112809641,23.921875,43,0.6988304093567251,2021-07-07,0.951179010622676,7,0.6988304093567251,emp1,mid,2.0,c,2021-07-07,2021,"{""type"":""Point"",""coordinates"":[-51.383574639252174,64.13399270326116]}"
00000000000000000018,64.13399066955128,-51.38353594073858,185.62419160914672,7,0.494882308945143,23.9453125,77,0.6884422110552764,2021-07-07,0.990156452326322,7,0.6884422110552764,emp1,mid,2.0,b,2021-07-07,2021,"{""type"":""Point"",""coordinates"":[-51.38353385074998,64.13399281058905]}"
00000000000000000019,64.13399984005807,-51.383534577785014,182.59764917053715,7,0.529544143677097,23.9453125,80,0.6884422110552764,2021-07-07,1.059507571084527,7,0.6884422110552764,emp1,mid,2.0,a,2021-07-07,2021,"{""type"":""Point"",""coordinates"":[-51.38353397359275,64.13400171936142]}"
00000000000000000013,64.13081829903017,-51.389310668080604,34.07299103871831,7,0.995986445117061,45.1015625,61,0.5181138585393904,2021-07-07,1.99276123110508,7,0.5181138585393904,emp2,mid,2.0,a,2021-07-07,2021,"{""type"":""Point"",""coordinates"":[-51.3893122026532,64.13081921570969]}"
0000000000000000001a,64.13083659571517,-51.38938337296514,32.49935171918754,7,1.014349668567164,45.2578125,83,0.28415758591785417,2021-07-07,2.029502207933653,7,0.28415758591785417,emp2,mid,2.0,d,2021-07-07,2021,"{""type"":""Point"",""coordinates"":[-51.38938382373768,64.13083684259414]}"
0000000000000000001b,64.13082090983549,-51.3894066422594,34.0543409541682,7,1.068790204219245,45.21875,86,0.5181138585393904,2021-07-07,2.138426368580705,7,0.5181138585393904,emp2,mid,2.0,c,2021-07-07,2021,"{""type"":""Point"",""coordinates"":[-51.38940396625038,64.13081897057437]}"
0000000000000000001c,64.1308033596761,-51.389333311071894,33.65036702081393,7,1.000679394342959,45.1015625,89,0.5181138585393904,2021-07-07,2.002150840167873,7,0.5181138585393904,emp2,mid,2.0,b,2021-07-07,2021,"{""type"":""Point"",""coordinates"":[-51.389332345199215,64.13080134369972]}"
0000000000000000000e,64.13362489745732,-51.376179331007876,136.70779228435254,7,0.747390293126137,31.546875,45,0.6466721446179129,2021-07-07,1.495372595426238,7,0.6466721446179129,emp3,mid,2.0,a,2021-07-07,2021,"{""type"":""Point"",""coordinates"":[-51.37617647637472,64.13362443806425]}"
00000000000000000029,64.13360523916897,-51.3762213636528,314.83598575949503,7,0.741050942227384,31.25,131,0.6466721446179129,2021-07-07,1.482688868422224,7,0.6466721446179129,emp3,mid,2.0,d,2021-07-07,2021,"{""type"":""Point"",""coordinates"":[-51.37621702337695,64.13360651523462]}"
0000000000000000002a,64.13359577290886,-51.376200004193386,316.66939968501293,7,0.740301459453322,31.4765625,134,0.6466721446179129,2021-07-07,1.481189314546995,7,0.6466721446179129,emp3,mid,2.0,c,2021-07-07,2021,"{""type"":""Point"",""coordinates"":[-51.3761965089011,64.13359765909]}"
0000000000000000002b,64.13361510304276,-51.37615820335712,137.37025023914552,7,0.752298145616941,31.609375,137,0.6466721446179129,2021-07-07,1.505192187680781,7,0.6466721446179129,emp3,mid,2.0,b,2021-07-07,2021,"{""type"":""Point"",""coordinates"":[-51.37615596189852,64.13361558191393]}"
00000000000000000032,64.13366843159257,-51.36757321410172,318.7934068556337,7,0.651966640014238,37.84375,157,0.6219931271477663,2021-07-07,1.304449946842992,7,0.6219931271477663,emp4,mid,2.0,b,2021-07-07,2021,"{""type"":""Point"",""coordinates"":[-51.3675704957256,64.1336686664909]}"
00000000000000000033,64.1336602771648,-51.36755604516597,316.5293783826529,7,0.582863620723632,37.375,160,0.6219931271477663,2021-07-07,1.166189144860484,7,0.6219931271477663,emp4,mid,2.0,a,2021-07-07,2021,"{""type"":""Point"",""coordinates"":[-51.36756018097536,64.13365978341523]}"
0000000000000000003b,64.13367614362153,-51.367518486029475,135.3955917308194,7,0.614490439311487,37.3203125,183,0.6219931271477663,2021-07-07,1.229467847148803,7,0.6219931271477663,emp4,mid,2.0,d,2021-07-07,2021,"{""type"":""Point"",""coordinates"":[-51.367519628310305,64.13367770383987]}"
0000000000000000003c,64.13368431867497,-51.36753637425115,137.7919384362321,7,0.646001741293437,37.7734375,186,0.6219931271477663,2021-07-07,1.292515422862387,7,0.6219931271477663,emp4,mid,2.0,c,2021-07-07,2021,"{""type"":""Point"",""coordinates"":[-51.367540081227,64.13368210681257]}"
00000000000000000008,64.13465491500072,-51.383731475011025,16.341338974117452,7,2.509170577707534,15.578125,28,0.5102897942041159,2021-07-07,5.02032783959551,7,0.5102897942041159,eri1,mid,2.0,d,2021-07-07,2021,"{""type"":""Point"",""coordinates"":[-51.383726555413,64.13465603102117]}"
00000000000000000009,64.13461066000082,-51.38376079501226,16.624014436554834,7,2.624780895984246,15.546875,31,0.5102897942041159,2021-07-07,5.251640008114613,7,0.5102897942041159,eri1,mid,2.0,c,2021-07-07,2021,"{""type"":""Point"",""coordinates"":[-51.38375653293024,64.13461140662862]}"
0000000000000000000a,64.1346056600009,-51.38368064001246,198.4480048931443,7,2.52531783656719,15.546875,34,0.5102897942041159,2021-07-07,5.051390732142191,7,0.5102897942041159,eri1,mid,2.0,b,2021-07-07,2021,"{""type"":""Point"",""coordinates"":[-51.38368509001768,64.13460714014926]}"
0000000000000000000b,64.1346489650006,-51.38365169001001,194.78488370051323,7,2.504504882746714,15.6484375,37,0.5102897942041159,2021-07-07,5.007095825939635,7,0.5102897942041159,eri1,mid,2.0,a,2021-07-07,2021,"{""type"":""Point"",""coordinates"":[-51.383655050947766,64.13464731014147]}"
00000000000000000014,64.1311631039573,-51.38740367056985,28.61134368180867,7,2.586320262549376,41.375,64,0.818018018018018,2021-07-07,5.215795208970021,7,0.818018018018018,eri2,mid,2.0,d,2021-07-07,2021,"{""type"":""Point"",""coordinates"":[-51.38740007707706,64.13116285644449]}"
00000000000000000015,64.13112061853674,-51.387448526777,21.676331742580764,7,2.636972934207153,41.2734375,67,0.7869822485207101,2021-07-07,5.21579519875052,7,0.7869822485207101,eri2,mid,2.0,c,2021-07-07,2021,"{""type"":""Point"",""coordinates"":[-51.387450499127816,64.13112263146066]}"
00000000000000000016,64.1310738820632,-51.38726954587445,24.89841601801068,7,2.483309586391042,40.7578125,70,0.8368469294225481,2021-07-07,4.968584981099538,7,0.8368469294225481,eri2,mid,2.0,b,2021-07-07,2021,"{""type"":""Point"",""coordinates"":[-51.38726628776307,64.13107412096882]}"
00000000000000000017,64.13111480408801,-51.387227081322685,24.574545902761738,7,2.523583810703505,40.875,73,0.818018018018018,2021-07-07,5.049165315864375,7,0.818018018018018,eri2,mid,2.0,a,2021-07-07,2021,"{""type"":""Point"",""coordinates"":[-51.38722606159946,64.13111431880151]}"
0000000000000000000f,64.13471175287735,-51.379039278683834,315.8594699054677,7,2.074177548134976,20.2421875,48,0.6170583115752829,2021-07-07,4.148355096269952,7,0.6170583115752829,eri3,mid,2.0,d,2021-07-07,2021,"{""type"":""Point"",""coordinates"":[-51.37903637061179,64.1347128477494]}"
00000000000000000010,64.1346855625072,-51.37897708423191,312.76709956251665,7,2.132485463239813,20.3125,51,0.6666666666666666,2021-07-07,4.264970926479625,7,0.6666666666666666,eri3,mid,2.0,c,2021-07-07,2021,"{""type"":""Point"",""coordinates"":[-51.37897482208288,64.13468628050437]}"
00000000000000000011,64.13472679938901,-51.378893672254804,137.2906100447783,7,2.15840033367837,20.296875,54,0.6409247417609444,2021-07-07,4.31680066735674,7,0.6409247417609444,eri3,mid,2.0,b,2021-07-07,2021,"{""type"":""Point"",""coordinates"":[-51.378893789121825,64.13472658206906]}"
00000000000000000012,64.1347532310686,-51.378956260345504,131.3539664297532,7,2.084881590755153,20.203125,57,0.6409247417609444,2021-07-07,4.169763181510306,7,0.6409247417609444,eri3,mid,2.0,a,2021-07-07,2021,"{""type"":""Point"",""coordinates"":[-51.378955337662745,64.13475314934816]}"
00000000000000000034,64.13329579686855,-51.36642358319717,198.6220873395791,7,2.323654019051471,29.484375,163,0.5125936010891763,2021-07-07,4.649149586036953,7,0.5125936010891763,eri4,mid,2.0,d,2021-07-07,2021,"{""type"":""Point"",""coordinates"":[-51.36642349960427,64.13329737276]}"
00000000000000000035,64.13333473722635,-51.36639767785589,194.32701831741716,7,2.198371215131291,29.3671875,166,0.5567715458276333,2021-07-07,4.398484690933214,7,0.5567715458276333,eri4,mid,2.0,c,2021-07-07,2021,"{""type"":""Point"",""coordinates"":[-51.36639337832937,64.13333308481977]}"
00000000000000000036,64.13334566137215,-51.366498287411964,17.053829987646193,7,2.282878993830635,29.9453125,169,0.507396449704142,2021-07-07,4.567567213715757,7,0.507396449704142,eri4,mid,2.0,b,2021-07-07,2021,"{""type"":""Point"",""coordinates"":[-51.36649552343854,64.13334619165649]}"
00000000000000000043,64.13330690797162,-51.366524780561605,16.858398769434277,7,2.224081214440362,30.3671875,204,0.507396449704142,2021-07-07,4.449925053372673,7,0.507396449704142,eri4,mid,2.0,a,2021-07-07,2021,"{""type"":""Point"",""coordinates"":[-51.36652558590057,64.13330602518046]}"
00000000000000000027,64.13227261815648,-51.37590095798086,293.3016059885788,7,0.985915944132578,28.015625,125,0.556390977443609,2021-07-07,1.972612845052063,7,0.556390977443609,loi1,mid,2.0,b,2021-07-07,2021,"{""type"":""Point"",""coordinates"":[-51.3759032511837,64.13227096094381]}"
