system:index,Latitude,Longitude,angle,day,distance,elevation,fid,first,image_date,lenght,month,ndvi,plot,position,position_n,section,targetdate,year,.geo
0000000000000000000c,64.13399992553055,-51.38357712461815,6.315334573688975,12,0.509089383164487,23.921875,40,0.6810089020771514,2020-09-12,1.017024580824883,9,0.6810089020771514,emp1,mid,2.0,d,2020-09-12,2020,"{""type"":""Point"",""coordinates"":[-51.38357476210799,64.13400161203349]}"
0000000000000000000d,64.13399111842936,-51.38357850284104,2.049710971606058,12,0.475304112809641,23.921875,43,0.6810089020771514,2020-09-12,0.951179010622676,9,0.6810089020771514,emp1,mid,2.0,c,2020-09-12,2020,"{""type"":""Point"",""coordinates"":[-51.383574639252174,64.13399270326116]}"
00000000000000000018,64.13399066955128,-51.38353594073858,185.62419160914672,12,0.494882308945143,23.9453125,77,0.6715542521994134,2020-09-12,0.990156452326322,9,0.6715542521994134,emp1,mid,2.0,b,2020-09-12,2020,"{""type"":""Point"",""coordinates"":[-51.38353385074998,64.13399281058905]}"
00000000000000000019,64.13399984005807,-51.383534577785014,182.59764917053715,12,0.529544143677097,23.9453125,80,0.6715542521994134,2020-09-12,1.059507571084527,9,0.6715542521994134,emp1,mid,2.0,a,2020-09-12,2020,"{""type"":""Point"",""coordinates"":[-51.38353397359275,64.13400171936142]}"
00000000000000000013,64.13081829903017,-51.389310668080604,34.07299103871831,12,0.995986445117061,45.1015625,61,0.4638671875,2020-09-12,1.99276123110508,9,0.4638671875,emp2,mid,2.0,a,2020-09-12,2020,"{""type"":""Point"",""coordinates"":[-51.3893122026532,64.13081921570969]}"
0000000000000000001a,64.13083659571517,-51.38938337296514,32.49935171918754,12,1.014349668567164,45.2578125,83,0.3396694214876033,2020-09-12,2.029502207933653,9,0.3396694214876033,emp2,mid,2.0,d,2020-09-12,2020,"{""type"":""Point"",""coordinates"":[-51.38938382373768,64.13083684259414]}"
0000000000000000001b,64.13082090983549,-51.3894066422594,34.0543409541682,12,1.068790204219245,45.21875,86,0.4638671875,2020-09-12,2.138426368580705,9,0.4638671875,emp2,mid,2.0,c,2020-09-12,2020,"{""type"":""Point"",""coordinates"":[-51.38940396625038,64.13081897057437]}"
0000000000000000001c,64.1308033596761,-51.389333311071894,33.65036702081393,12,1.000679394342959,45.1015625,89,0.4638671875,2020-09-12,2.002150840167873,9,0.4638671875,emp2,mid,2.0,b,2020-09-12,2020,"{""type"":""Point"",""coordinates"":[-51.389332345199215,64.13080134369972]}"
0000000000000000000e,64.13362489745732,-51.376179331007876,136.70779228435254,12,0.747390293126137,31.546875,45,0.5809723679608254,2020-09-12,1.495372595426238,9,0.5809723679608254,emp3,mid,2.0,a,2020-09-12,2020,"{""type"":""Point"",""coordinates"":[-51.37617647637472,64.13362443806425]}"
00000000000000000029,64.13360523916897,-51.3762213636528,314.83598575949503,12,0.741050942227384,31.25,131,0.5809723679608254,2020-09-12,1.482688868422224,9,0.5809723679608254,emp3,mid,2.0,d,2020-09-12,2020,"{""type"":""Point"",""coordinates"":[-51.37621702337695,64.13360651523462]}"
0000000000000000002a,64.13359577290886,-51.376200004193386,316.66939968501293,12,0.740301459453322,31.4765625,134,0.5809723679608254,2020-09-12,1.481189314546995,9,0.5809723679608254,emp3,mid,2.0,c,2020-09-12,2020,"{""type"":""Point"",""coordinates"":[-51.3761965089011,64.13359765909]}"
0000000000000000002b,64.13361510304276,-51.37615820335712,137.37025023914552,12,0.752298145616941,31.609375,137,0.5809723679608254,2020-09-12,1.505192187680781,9,0.5809723679608254,emp3,mid,2.0,b,2020-09-12,2020,"{""type"":""Point"",""coordinates"":[-51.37615596189852,64.13361558191393]}"
00000000000000000032,64.13366843159257,-51.36757321410172,318.7934068556337,12,0.651966640014238,37.84375,157,0.6747404844290658,2020-09-12,1.304449946842992,9,0.6747404844290658,emp4,mid,2.0,b,2020-09-12,2020,"{""type"":""Point"",""coordinates"":[-51.3675704957256,64.1336686664909]}"
00000000000000000033,64.1336602771648,-51.36755604516597,316.5293783826529,12,0.582863620723632,37.375,160,0.6747404844290658,2020-09-12,1.166189144860484,9,0.6747404844290658,emp4,mid,2.0,a,2020-09-12,2020,"{""type"":""Point"",""coordinates"":[-51.36756018097536,64.13365978341523]}"
0000000000000000003b,64.13367614362153,-51.367518486029475,135.3955917308194,12,0.614490439311487,37.3203125,183,0.6747404844290658,2020-09-12,1.229467847148803,9,0.6747404844290658,emp4,mid,2.0,d,2020-09-12,2020,"{""type"":""Point"",""coordinates"":[-51.367519628310305,64.13367770383987]}"
0000000000000000003c,64.13368431867497,-51.36753637425115,137.7919384362321,12,0.646001741293437,37.7734375,186,0.6747404844290658,2020-09-12,1.292515422862387,9,0.6747404844290658,emp4,mid,2.0,c,2020-09-12,2020,"{""type"":""Point"",""coordinates"":[-51.367540081227,64.13368210681257]}"
00000000000000000008,64.13465491500072,-51.383731475011025,16.341338974117452,12,2.509170577707534,15.578125,28,0.439068752273554,2020-09-12,5.02032783959551,9,0.439068752273554,eri1,mid,2.0,d,2020-09-12,2020,"{""type"":""Point"",""coordinates"":[-51.383726555413,64.13465603102117]}"
00000000000000000009,64.13461066000082,-51.38376079501226,16.624014436554834,12,2.624780895984246,15.546875,31,0.439068752273554,2020-09-12,5.251640008114613,9,0.439068752273554,eri1,mid,2.0,c,2020-09-12,2020,"{""type"":""Point"",""coordinates"":[-51.38375653293024,64.13461140662862]}"
